@relation ASSIGNMENT3-AASL

@attribute itPosition numeric
@attribute sentenceLength numeric
@attribute punctuationCount numeric
@attribute precedingNPs numeric
@attribute succedingNPs numeric 
@attribute immediatelyFollowsPP numeric
@attribute neighborPOSTags1 string
@attribute neighborPOSTags2 string
@attribute neighborPOSTags3 string
@attribute neighborPOSTags4 string
@attribute neighborPOSTags5 string
@attribute neighborPOSTags6 string
@attribute neighborPOSTags7 string
@attribute neighborPOSTags8 string
@attribute followedByIngVerb numeric
@attribute followedByPreposition numeric
@attribute adjectivesAfterCount numeric
@attribute verbBefore numeric
@attribute verbAfter numeric
@attribute adjectivesAfter numeric
@attribute nounPhraseWithAdjectiveAfter numeric
@attribute tokensBeforeNextVerbInf numeric
@attribute tokensBetweenItAndPreposition numeric
@attribute itImmediatelyFollowedByAdjNounPhrase numeric
@attribute dependencyToClosest string
@attribute followedByWeatherVerb numeric
@attribute followedByCognitiveVerb numeric
@attribute class {NOMANAPH, CLAUSEANAPH}

@data
5,10,2,1,1,0,PRON,VERB,ADV,VERB,PUNCT,ADV,ADP,PRON,0,1,0,1,0,0,0,0,2,0,dobj,0,0,CLAUSEANAPH
16,20,2,4,1,0,VERB,ADV,PROPN,VERB,ADP,PRON,NOUN,PUNCT,0,1,0,1,0,0,0,0,0,0,dobj,0,0,CLAUSEANAPH
16,20,2,5,1,0,PRON,VERB,VERB,VERB,ADP,DET,NOUN,PUNCT,0,1,0,1,0,0,0,0,0,0,dobj,0,0,CLAUSEANAPH
7,21,2,2,5,0,VERB,VERB,PRON,VERB,PUNCT,PRON,VERB,ADV,0,1,0,1,1,0,0,0,7,0,dobj,0,0,CLAUSEANAPH
9,21,2,3,4,0,PRON,VERB,PRON,PUNCT,VERB,ADV,VERB,DET,0,1,0,1,1,0,0,0,5,0,nsubj,0,0,CLAUSEANAPH
20,21,2,7,0,0,PRON,ADV,PRON,VERB,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,CLAUSEANAPH
7,12,2,2,1,0,VERB,VERB,PRON,VERB,PUNCT,VERB,PROPN,ADV,0,0,0,1,1,0,0,0,0,0,dobj,0,0,CLAUSEANAPH
15,18,2,4,1,0,PUNCT,PRON,VERB,VERB,ADP,PRON,PUNCT,ABS,0,1,0,1,0,0,0,0,0,0,dobj,0,0,CLAUSEANAPH
2,5,1,0,1,0,ABS,ABS,ABS,VERB,DET,NOUN,PUNCT,ABS,0,0,0,1,0,0,0,0,0,0,nsubj,0,0,CLAUSEANAPH
1,7,1,0,2,0,ABS,ABS,ABS,ABS,DET,VERB,ADP,DET,0,1,0,0,1,0,0,0,2,0,nsubj,0,0,CLAUSEANAPH
1,10,2,0,1,0,ABS,ABS,ABS,ABS,VERB,VERB,VERB,PUNCT,0,1,1,0,1,1,1,0,6,0,nsubj,0,0,CLAUSEANAPH
1,18,1,0,2,0,ABS,ABS,ABS,ABS,VERB,VERB,ADJ,ADV,0,1,2,0,1,1,1,8,4,0,nsubj,0,0,CLAUSEANAPH
1,6,1,0,0,0,ABS,ABS,ABS,ABS,VERB,ADV,VERB,ADJ,0,0,1,0,1,1,1,0,0,0,nsubj,0,0,CLAUSEANAPH
1,7,1,0,1,0,ABS,ABS,ABS,ABS,VERB,ADV,VERB,ADP,0,1,0,0,1,0,0,0,3,0,nsubj,0,0,CLAUSEANAPH
1,7,1,0,1,0,ABS,ABS,ABS,ABS,VERB,ADP,DET,ADJ,0,1,1,0,1,1,1,0,1,0,nsubj,0,0,CLAUSEANAPH
1,9,1,0,2,0,ABS,ABS,ABS,ABS,VERB,DET,NOUN,ADP,0,1,1,0,1,1,1,0,3,0,nsubj,0,0,CLAUSEANAPH
1,5,1,0,0,0,ABS,ABS,ABS,ABS,VERB,ADV,ADJ,PUNCT,0,0,1,0,1,1,1,0,0,0,nsubj,0,0,CLAUSEANAPH
1,16,3,0,3,0,ABS,ABS,ABS,ABS,VERB,PUNCT,ADP,NOUN,1,1,0,0,1,0,0,0,2,0,nsubj,0,0,CLAUSEANAPH
1,22,2,0,5,0,ABS,ABS,ABS,ABS,VERB,PRON,ADP,PRON,0,1,2,0,1,1,1,0,2,0,nsubj,0,1,CLAUSEANAPH
2,51,7,0,12,0,ABS,ABS,ABS,PUNCT,VERB,DET,ADJ,NOUN,0,1,6,0,1,1,1,14,4,0,nsubj,0,0,CLAUSEANAPH
17,51,7,3,9,0,CONJ,PUNCT,ADP,VERB,DET,ADJ,NOUN,DET,0,1,5,1,1,1,1,0,8,0,nsubj,0,0,CLAUSEANAPH
2,12,2,0,2,0,ABS,ABS,ABS,PUNCT,VERB,DET,NOUN,DET,0,1,1,0,1,1,1,8,5,0,nsubj,0,0,CLAUSEANAPH
1,10,2,0,3,0,ABS,ABS,ABS,ABS,VERB,DET,ADJ,NOUN,0,0,1,0,1,1,1,0,0,0,nsubj,0,0,CLAUSEANAPH
9,10,2,3,0,0,NOUN,PUNCT,PRON,VERB,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,CLAUSEANAPH
1,39,4,0,8,0,ABS,ABS,ABS,ABS,VERB,ADJ,ADV,ADP,1,1,3,0,1,1,1,0,3,0,nsubj,0,0,CLAUSEANAPH
13,39,4,3,5,0,VERB,PRON,VERB,VERB,PUNCT,CONJ,PRON,VERB,1,1,2,1,1,1,1,0,5,0,dobj,0,0,CLAUSEANAPH
20,39,4,5,3,0,PRON,VERB,VERB,ADP,VERB,ADV,ADJ,ADV,1,1,2,1,1,1,1,0,10,0,nsubj,0,0,CLAUSEANAPH
1,7,1,0,1,0,ABS,ABS,ABS,ABS,VERB,ADV,ADJ,ADP,0,1,1,0,1,1,1,0,3,0,nsubj,0,0,CLAUSEANAPH
1,9,1,0,1,0,ABS,ABS,ABS,ABS,VERB,ADV,ADV,ADP,0,1,0,0,1,0,0,0,3,0,nsubj,0,0,CLAUSEANAPH
1,14,3,0,2,0,ABS,ABS,ABS,ABS,VERB,PUNCT,ADP,PRON,0,1,2,0,1,1,1,0,2,0,nsubj,0,0,CLAUSEANAPH
1,21,2,0,6,0,ABS,ABS,ABS,ABS,VERB,PRON,ADV,DET,0,1,2,0,1,1,1,18,6,0,nsubj,0,0,CLAUSEANAPH
9,21,2,3,3,0,DET,ADJ,PUNCT,ADP,VERB,DET,NOUN,ADP,0,1,1,1,1,1,1,18,3,0,nsubj,0,0,CLAUSEANAPH
1,7,1,0,0,0,ABS,ABS,ABS,ABS,VERB,VERB,VERB,ADV,0,0,1,0,1,1,1,0,0,0,nsubj,0,0,CLAUSEANAPH
2,24,4,0,7,0,ABS,ABS,ABS,PUNCT,VERB,ADV,ADJ,NOUN,0,0,2,0,1,1,1,0,0,0,nsubj,0,0,CLAUSEANAPH
21,22,4,6,0,0,ADP,PRON,ADV,VERB,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,CLAUSEANAPH
7,13,1,1,2,0,VERB,ADJ,ADP,VERB,ADP,DET,NOUN,ADP,0,1,0,1,0,0,0,0,0,0,dobj,0,0,CLAUSEANAPH
14,20,3,3,2,0,VERB,PRON,ADV,ADJ,VERB,DET,NOUN,PUNCT,0,0,0,1,1,0,0,0,0,0,nsubj,0,0,CLAUSEANAPH
11,15,3,3,1,0,PUNCT,PRON,ADV,VERB,VERB,VERB,PRON,PUNCT,0,0,0,1,1,0,0,0,0,0,nsubj,0,0,CLAUSEANAPH
2,9,1,0,1,0,ABS,ABS,ABS,ADV,VERB,ADV,ADJ,ADP,0,1,1,0,1,1,1,0,3,0,nsubj,0,0,CLAUSEANAPH
12,18,1,4,1,0,ADP,DET,NOUN,ADV,VERB,DET,ADV,ADJ,0,0,1,1,1,1,1,0,0,0,nsubj,0,0,CLAUSEANAPH
30,31,1,8,0,0,ADP,DET,NOUN,VERB,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,CLAUSEANAPH
5,6,1,1,0,0,ADV,PRON,VERB,VERB,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,CLAUSEANAPH
6,7,2,0,0,0,PUNCT,VERB,ADV,VERB,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,CLAUSEANAPH
6,7,2,0,0,0,ADJ,PUNCT,VERB,ADV,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,nsubj,0,0,CLAUSEANAPH
14,15,1,3,0,1,VERB,DET,NOUN,ADP,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,prep_of,0,0,CLAUSEANAPH
14,18,2,4,1,1,PUNCT,CONJ,VERB,ADP,ADV,ADP,NOUN,PUNCT,0,1,0,1,0,0,0,0,1,0,prep_at,0,0,CLAUSEANAPH
18,19,3,5,0,0,VERB,PRON,ADP,VERB,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,CLAUSEANAPH
34,38,5,8,1,0,PRON,ADV,PUNCT,VERB,ADP,ADP,PRON,PUNCT,0,1,0,1,0,0,0,0,0,0,dobj,0,0,CLAUSEANAPH
7,13,2,1,1,0,ADV,VERB,PUNCT,CONJ,VERB,VERB,PRON,NOUN,0,0,0,1,1,0,0,0,0,0,nsubj,0,0,CLAUSEANAPH
4,8,1,0,1,0,PUNCT,VERB,VERB,VERB,ADP,PRON,VERB,PUNCT,0,1,0,1,1,0,0,0,0,0,dobj,0,0,CLAUSEANAPH
6,8,1,1,0,0,VERB,VERB,PRON,ADP,VERB,PUNCT,ABS,ABS,0,0,0,1,1,0,0,0,0,0,nsubj,0,0,CLAUSEANAPH
3,13,2,0,2,0,ABS,ABS,ADV,ADV,VERB,ADV,VERB,VERB,0,1,0,0,1,0,0,0,4,0,nsubjpass,0,0,CLAUSEANAPH
8,10,2,1,0,1,VERB,ADP,VERB,VERB,ADP,PUNCT,ABS,ABS,0,1,0,1,0,0,0,0,0,0,dobj,0,0,CLAUSEANAPH
10,25,2,3,3,0,ADP,PRON,PUNCT,ADP,VERB,ADP,PRON,NOUN,0,1,0,1,1,0,0,0,1,0,nsubj,0,1,CLAUSEANAPH
39,42,4,6,1,0,VERB,VERB,ADP,VERB,NOUN,NOUN,PUNCT,ABS,0,0,0,1,0,0,0,0,0,0,iobj,0,0,CLAUSEANAPH
14,32,4,5,5,1,PRON,VERB,PRON,ADP,ADP,DET,NOUN,ADP,0,1,0,1,1,0,0,0,0,0,prep_with,0,0,CLAUSEANAPH
17,21,4,4,0,0,ADP,PRON,VERB,NOUN,VERB,VERB,VERB,PUNCT,0,0,0,1,1,0,0,0,0,0,nsubjpass,0,0,CLAUSEANAPH
8,9,1,2,0,1,VERB,ADP,VERB,ADP,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,prep_with,0,0,CLAUSEANAPH
2,5,1,0,0,0,ABS,ABS,ABS,VERB,VERB,ADJ,PUNCT,ABS,0,0,1,1,1,1,1,0,0,0,nsubj,0,0,CLAUSEANAPH
4,7,2,0,0,0,PUNCT,ADV,PUNCT,CONJ,VERB,ADJ,PUNCT,ABS,0,0,1,0,1,1,1,0,0,0,nsubj,0,0,CLAUSEANAPH
9,26,6,1,4,0,PUNCT,ADV,PRON,VERB,PUNCT,PRON,VERB,PUNCT,0,1,0,1,1,0,0,21,4,0,dobj,0,0,CLAUSEANAPH
11,26,6,2,3,0,PRON,VERB,PRON,PUNCT,VERB,PUNCT,ADP,PRON,0,1,0,1,1,0,0,21,2,0,nsubj,0,0,CLAUSEANAPH
25,26,6,5,0,1,VERB,ADP,VERB,ADP,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,prep_of,0,0,CLAUSEANAPH
4,7,2,1,0,0,PUNCT,PUNCT,PRON,VERB,VERB,ADJ,PUNCT,ABS,0,0,1,1,1,1,1,0,0,0,nsubj,0,0,CLAUSEANAPH
9,23,1,3,3,0,ADV,PRON,VERB,ADP,VERB,DET,ADJ,NOUN,0,1,1,1,1,1,1,0,4,0,nsubj,0,0,CLAUSEANAPH
4,6,1,1,0,0,DET,ADJ,NOUN,PRON,PUNCT,DET,ABS,ABS,0,0,0,0,1,0,0,0,0,0,nsubj,0,0,NOMANAPH
33,35,4,9,0,1,VERB,ADV,DET,ADP,PUNCT,PUNCT,ABS,ABS,0,0,0,1,0,0,0,0,0,0,prep_of,0,0,NOMANAPH
14,19,3,2,0,1,ADJ,NOUN,VERB,ADP,PUNCT,ADV,ADP,ADJ,0,1,1,1,0,1,1,0,2,0,prep_across,0,0,NOMANAPH
13,21,2,3,1,0,ADJ,NOUN,ADP,VERB,PUNCT,CONJ,ADV,ADP,0,1,0,1,1,0,0,16,3,0,dobj,0,0,NOMANAPH
20,21,2,4,0,1,ADV,ADP,VERB,ADP,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,prep_at,0,0,NOMANAPH
27,28,2,6,0,1,ADP,ADP,VERB,ADP,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,prep_near,0,0,NOMANAPH
9,32,4,3,6,0,NOUN,PUNCT,PRON,VERB,ADP,DET,NOUN,PUNCT,0,1,1,1,1,1,1,0,0,0,dobj,0,0,NOMANAPH
22,32,4,7,2,1,NOUN,ADP,NOUN,ADP,ADP,ADV,PUNCT,CONJ,0,1,0,1,1,0,0,0,0,0,prep_on_top_of,0,0,NOMANAPH
6,18,2,1,4,0,PUNCT,CONJ,PRON,VERB,VERB,ADV,ADP,DET,0,1,1,1,1,1,1,0,2,0,nsubj,0,0,NOMANAPH
15,18,2,4,1,0,ADJ,NOUN,NOUN,ADP,VERB,NOUN,PUNCT,ABS,0,0,0,1,1,0,0,0,0,0,nsubj,0,0,NOMANAPH
7,8,1,1,0,0,NOUN,VERB,CONJ,VERB,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
33,34,4,7,0,0,VERB,ADP,ADP,VERB,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
34,37,5,7,0,0,PUNCT,ADP,VERB,ADP,VERB,ADV,PUNCT,ABS,0,0,0,1,1,0,0,0,0,0,nsubj,0,1,NOMANAPH
5,12,1,1,1,0,CONJ,PRON,VERB,ADJ,VERB,ADV,ADJ,ADP,0,1,1,1,1,1,1,0,3,0,nsubj,0,1,NOMANAPH
3,6,1,0,0,0,ABS,ABS,CONJ,ADV,VERB,VERB,PUNCT,ABS,0,0,0,0,1,0,0,0,0,0,nsubjpass,0,0,NOMANAPH
19,21,3,4,0,0,ADV,PUNCT,PRON,VERB,ADV,PUNCT,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
10,13,1,3,0,0,VERB,PRON,NOUN,ADP,VERB,ADV,PUNCT,ABS,0,0,0,1,1,0,0,0,0,0,nsubj,0,0,NOMANAPH
6,20,3,1,4,0,DET,NOUN,PUNCT,VERB,ADP,DET,NOUN,ADP,0,1,0,1,0,0,0,0,0,0,root,0,0,NOMANAPH
4,9,2,1,1,0,PUNCT,CONJ,ADV,ADJ,VERB,ADV,PUNCT,NOUN,0,0,0,0,1,0,0,0,0,0,nsubj,0,0,NOMANAPH
5,20,2,1,4,0,CONJ,ADV,PRON,VERB,PUNCT,ADP,PRON,VERB,0,1,1,1,1,1,1,15,1,0,dobj,0,0,NOMANAPH
18,20,2,5,0,0,ADJ,NOUN,ADP,VERB,ADP,PUNCT,ABS,ABS,0,1,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
6,9,1,0,1,0,ADV,VERB,PRON,VERB,ADP,PROPN,PUNCT,ABS,0,1,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
8,12,1,1,1,0,VERB,ADV,ADV,ADP,VERB,ADP,PROPN,PUNCT,0,1,0,1,1,0,0,0,1,0,nsubj,0,1,NOMANAPH
7,10,1,1,0,0,VERB,VERB,ADV,ADP,VERB,ADV,PUNCT,ABS,0,0,0,1,1,0,0,0,0,0,nsubj,0,0,NOMANAPH
10,46,8,2,11,0,NOUN,PUNCT,VERB,VERB,ADP,PRON,PUNCT,PROPN,1,1,1,1,1,1,1,0,0,0,dobj,0,0,NOMANAPH
38,46,8,10,3,1,DET,VERB,NOUN,ADP,PUNCT,INTJ,PUNCT,PRON,0,0,0,1,1,0,0,0,0,0,prep_in,0,0,NOMANAPH
42,46,8,12,1,0,PRON,PUNCT,INTJ,PUNCT,VERB,ADV,PRON,PUNCT,0,0,0,1,1,0,0,0,0,0,nsubj,0,0,NOMANAPH
2,16,3,0,5,0,ABS,ABS,ABS,ADP,VERB,PUNCT,PRON,VERB,0,1,0,0,1,0,0,0,11,0,nsubj,0,0,NOMANAPH
15,16,3,5,0,1,ADV,DET,NOUN,ADP,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,prep_of,0,0,NOMANAPH
8,14,2,1,1,0,NOUN,VERB,VERB,PUNCT,VERB,DET,ADV,ADJ,0,0,1,1,1,1,1,0,0,0,nsubj,0,0,NOMANAPH
2,7,1,0,1,0,ABS,ABS,ABS,VERB,ADV,ADP,DET,NOUN,0,1,0,1,0,0,0,0,1,0,iobj,0,0,NOMANAPH
5,20,3,1,5,0,ADP,DET,NOUN,PUNCT,VERB,DET,ADJ,NOUN,0,1,1,0,1,1,1,0,4,0,nsubj,0,0,NOMANAPH
14,20,3,4,2,0,ADP,PROPN,PROPN,VERB,DET,PUNCT,X,ADV,0,0,0,1,0,0,0,0,0,0,dobj,0,1,NOMANAPH
19,20,3,6,0,0,DET,PUNCT,X,ADV,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dep,0,0,NOMANAPH
15,20,1,3,1,0,DET,ADP,ADP,VERB,ADP,PRON,ADJ,NOUN,0,1,1,1,0,1,1,0,0,0,dobj,0,0,NOMANAPH
15,21,3,2,0,0,ADJ,CONJ,ADJ,PUNCT,VERB,ADV,ADJ,ADP,0,1,1,1,1,1,1,18,3,0,nsubj,0,0,NOMANAPH
10,21,3,1,2,0,VERB,VERB,ADJ,PUNCT,VERB,ADV,ADP,DET,0,1,1,1,1,1,1,0,2,0,nsubj,0,0,NOMANAPH
10,13,1,3,0,0,ADJ,ADP,NOUN,VERB,ADP,ADV,PUNCT,ABS,0,1,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
7,9,1,2,0,0,VERB,ADP,PRON,VERB,VERB,PUNCT,ABS,ABS,0,0,0,1,1,0,0,0,0,0,nsubj,0,0,NOMANAPH
6,9,1,1,1,0,PRON,VERB,ADV,VERB,ADP,PRON,PUNCT,ABS,0,1,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
16,27,1,3,4,0,NOUN,ADP,ADP,VERB,ADV,ADV,PRON,VERB,0,1,0,1,1,0,0,23,5,0,dobj,0,0,NOMANAPH
26,27,1,7,0,0,ADP,NOUN,ADP,VERB,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
15,21,3,3,1,0,NUM,NOUN,ADV,PUNCT,VERB,ADV,ADP,ADJ,0,1,1,1,1,1,1,0,2,0,nsubj,0,0,NOMANAPH
12,27,2,3,5,1,ADV,PRON,NOUN,ADP,PUNCT,ADP,PRON,VERB,0,1,1,1,1,1,1,0,1,0,prep_for,0,0,NOMANAPH
15,27,2,4,4,0,ADP,PRON,PUNCT,ADP,VERB,PRON,PRON,VERB,0,0,1,1,1,1,1,0,0,0,nsubj,0,0,NOMANAPH
25,27,2,8,0,0,ADJ,NOUN,CONJ,VERB,VERB,PUNCT,ABS,ABS,0,0,0,1,1,0,0,0,0,0,dobj,0,0,NOMANAPH
2,6,1,0,1,0,ABS,ABS,ABS,CONJ,VERB,DET,NOUN,PUNCT,0,0,0,0,1,0,0,0,0,0,nsubj,0,0,NOMANAPH
2,13,1,0,2,0,ABS,ABS,ABS,CONJ,VERB,ADV,DET,ADJ,0,1,1,0,1,1,1,10,5,0,nsubj,0,0,NOMANAPH
2,7,1,0,0,0,ABS,ABS,ABS,CONJ,VERB,ADV,VERB,ADV,0,0,0,0,1,0,0,0,0,0,nsubjpass,0,0,NOMANAPH
9,11,2,1,0,0,VERB,PUNCT,CONJ,VERB,ADV,PUNCT,ABS,ABS,0,0,0,1,0,0,0,0,0,0,nsubj,0,0,NOMANAPH
10,11,1,3,0,1,X,NOUN,VERB,ADP,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,prep_on,0,0,NOMANAPH
4,5,1,1,0,0,PUNCT,CONJ,PRON,VERB,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
6,7,1,1,0,0,PRON,VERB,ADV,VERB,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
5,8,1,1,0,0,CONJ,PRON,VERB,VERB,ADV,ADV,PUNCT,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
10,11,1,3,0,0,PRON,VERB,ADV,VERB,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
9,12,3,1,1,0,PUNCT,PROPN,VERB,VERB,DET,ADV,PUNCT,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,1,NOMANAPH
9,12,2,3,1,0,DET,NOUN,ADP,VERB,PUNCT,NOUN,PUNCT,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,NOMANAPH
